sid,sentence,label
82,"The Fifth Amendment , which requires among other things that people can not be deprived of their life , liberty , or property except by a legal proceeding , was also greatly influenced by English law as well as the protections granted to Virginians in the Virginia Declaration of Rights .
",1
83,"For example , New York State passed the Bakeshop Act in 1897 , which prohibited bakery employees from working more than sixty hours in a week .
",1
84," Adipose tissue is a connective tissue found throughout the body .
",1
85," Conservative Whigs believed in government by a patrician class , a ruling group composed of a small number of privileged families .
",1
86,"In high school , Torres decided to become a lawyer , participated in mock trials , and met a young and aspiring local politician named James Vacca .
",0
87,"The primary legal example for sunshine laws is the Freedom of Information Act ( FOIA ) , passed in 1966 and signed by President Lyndon B. Johnson .
",0
88,"Comte named the scientific study of social patterns positivism .
",0
89,"The fact that private goods are excludable and finite makes them tradable .
",0
90,"For example , peasants constructed rope bridges made of grass to span the mountains above fast - flowing icy rivers .
",0
91,"After graduation , he volunteered to campaign for Vacca in his run for a seat on the City Council .
",0
92,"His New Look strategy embraced nuclear “ massive retaliation , ” a plan for nuclear response to a first Soviet strike so devastating that the attackers would not be able to respond .
",1
93," Objectives arranged in this way are described as parfocal .
",0
94,"This population size , which represents the maximum population size that a particular environment can support , is called the carrying capacity , or K.The formula we use to calculate logistic growth adds the carrying capacity as a moderating force in the growth rate .
",1
95," Democratic - appointed judges sometimes side with conservatives , just as Republican - appointed judges sometimes side with liberals .
",0
96,"By contrast , the total amount of foreign aid from these same high - income countries to the poor countries of the world is about $ 70 billion per year , or less than 20 % of the farm subsidies .
",0
97,"In addition , approximately 30 percent of governors have the power of an amendatory veto , which allows them to send a bill back to the legislature and request a specific amendment to it .
",0
98,"One question asked , “ If you knew the following , would it change your vote .
",0
99,"The grandfather clause exempted those who had been allowed to vote in that state prior to the Civil War and their descendants from literacy and understanding tests . Keyssar , 112 .
",1
100," Each remained convinced that its own economic and political systems were superior to the other ’s , and the two superpowers quickly found themselves drawn into conflict .
",0
101,"Whenever a current varies , associated electric and magnetic fields vary , moving out from the source like waves .
",0
102," Each time the rat hit the lever , a pellet of food came out .
",0
103,"Following the publication of material Sherman believed to be protected by government censorship , a journalist was arrested and nearly put to death .
",0
104,"In regression , an individual acts much younger than their age .
",1
105,"Bile is produced in the liver and stored and concentrated in the gallbladder .
",0
106,"Many tribes have also used their new freedom from government control to legalize gambling and to open casinos on their reservations .
",0
107,"In states with a lifetime ban , such as Oklahoma , members can serve only one time for the number of years allotted , and they are not permitted to run for office again ( [ link ] ) .
",0
108,"The insurance company prices these premiums based on the probability of certain events occurring among a pool of people .
",0
109,"A basophil is a leukocyte that , like a neutrophil , releases chemicals to stimulate the inflammatory response as illustrated in [ link ] .
",1
110,"Political commentators like Rush Limbaugh and publications like Mother Jones openly state their ideological viewpoints .
",0
111,"Multiple , full - length RNA strands of negative polarity ( complimentary to the positive - stranded genomic RNA ) are formed from these intermediates , which may then serve as templates for the production of RNA with positive polarity , including both full - length genomic RNA and shorter viral mRNAs .
",1
112,"Linear perspective refers to the fact that we perceive depth when we see two parallel lines that seem to converge in an image ( [ link ] ) .
",1
113,"Most of the well - known Christian denominations in the United States today began as sects .
",0
114,"Influenced by his mentor , Salmon P. Chase , Bingham was a strong supporter of the antislavery cause ; after Chase lost the Republican presidential nomination to Abraham Lincoln ( b ) , Bingham became one of the president ’s most ardent supporters .
",0
115," During this process , the hydroxyl group of one monosaccharide combines with the hydrogen of another monosaccharide , releasing a molecule of water and forming a covalent bond .
",0
116,"Brucellosis is an example of a prokaryotic zoonosis that is re - emerging in some regions , and necrotizing fasciitis ( commonly known as flesh - eating bacteria ) has been increasing in virulence for the last 80 years for unknown reasons .
",1
117," In reality , the encomienda system exploited native workers .
",0
118," Some people are born deaf , which is known as congenital deafness .
",1
119,"Living salamanders ( [ link ] ) include approximately 620 species , some of which are aquatic , other terrestrial , and some that live on land only as adults .
",0
120,"Speculation , where investors purchased into high - risk schemes that they hoped would pay off quickly , became the norm .
",1
121,"Upon their arrival in North America a year later , the English Separatists who settled the Plymouth Colony , commonly known as the Pilgrims , promptly authored the Mayflower Compact , an agreement to govern themselves according to the laws created by the male voters of the colony .
",1
122," Societies develop along a predictable continuum as they evolve from unindustrialized to postindustrial .
",0
123,"Lippmann ’s statements led to the hypodermic theory , which argues that information is “ shot ” into the receiver ’s mind and readily accepted .
",0
124,"Therefore , the scientific name of the dog is Canis lupus .
",0
125," The fact that HIV produces some of its own enzymes not found in the host has allowed researchers to develop drugs that inhibit these enzymes .
",0
126,"Roe v. Wade , 410 U.S. 113 ( 1973 ) .
",0
127,"Perhaps the most well - known cognitive theory of depression was developed in the 1960s by psychiatrist Aaron Beck , based on clinical observations and supported by research ( Beck , 2008 ) .
",0
128,"Another perspective on the interaction between genes and the environment is the concept of genetic environmental correlation .
",0
129," Specialization meant the work was broken down into specific tasks , and workers repeatedly did the one task assigned to them in the course of a day .
",1
130,"This inhibits the release of GnRH and FSH , which will cause spermatogenesis to slow down .
",0
131,"Glucocorticoids also have anti - inflammatory properties through inhibition of the immune system .
",0
132,"( See [ link ] . )
",0
133,"Finally , Article VI declared that the U.S. Constitution and any laws or treaties made in connection with that document were to supersede constitutions and laws made at the state level .
",1
134," Parliament did not enact the Tea Act of 1773 in order to punish the colonists , assert parliamentary power , or even raise revenues .
",0
135,"A host is the organism that is invaded and often harmed by a pathogen .
",1
136," As illustrated in [ link ] , styles , stigmas , and ovules constitute the female organ : the gynoecium or carpel .
",1
137,"In the male reproductive system , the scrotum houses the testicles or testes ( singular : testis ) , including providing passage for blood vessels , nerves , and muscles related to testicular function .
",1
138,"Congress and the president responded with the Civil Service Reform Act of 1978 , which abolished the Civil Service Commission .
",0
139,"Mesohyl is an extracellular matrix consisting of a collagen - like gel with suspended cells that perform various functions .
",1
140,"In contrast , theorists who view development as discontinuous believe that development takes place in unique stages : It occurs at specific times or ages .
",0
141," The environment consists of numerous pathogens , which are agents , usually microorganisms , that cause diseases in their hosts .
",1
142," Most revolutionaries pledged their greatest loyalty to their individual states .
",0
143,"United States v. E. C. Knight , 156 U.S. 1 ( 1895 ) .
",0
144,"This approach has led to the development of a variety of drugs used to treat HIV and has been effective at reducing the number of infectious virions ( copies of viral RNA ) in the blood to non - detectable levels in many HIV - infected individuals .
",1
145,"A ( a ) tidal pool ecosystem in Matinicus Island in Maine is a small ecosystem , while the ( b ) Amazon Rainforest in Brazil is a large ecosystem .
",0
146," Under President Andrew Jackson , many thousands of party loyalists filled the ranks of the bureaucratic offices around the country .
",0
147,"Group leaders may also offer solidary incentives , which provide the benefit of joining with others who have the same concerns or are similar in other ways .
",1
148," Equilibrium is the steady state of an ecosystem where all organisms are in balance with their environment and with each other .
",1
149," The circuit courts started out as the trial courts for most federal criminal cases and for some civil suits , including those initiated by the United States and those involving citizens of different states .
",0
150,"In the early twentieth century , biologists in a field of study known as population genetics began to study how selective forces change a population through changes in allele and genotypic frequencies .
",0
151,"Glycogen is the animal equivalent of starch and is a highly branched molecule usually stored in liver and muscle cells .
",0
152," A good model to start with in economics is the circular flow diagram , which is shown in [ link ] .
",0
153,"In response , Arkansas governor Orval Faubus called out the state National Guard to prevent the students from attending classes , removing the troops only after Eisenhower told him to do so .
",0
154," In the battle over passage of the 2010 Affordable Care Act ( ACA ) , which became known as “ Obamacare , ” there was heavy lobbying on all sides by insurance companies and pharmaceutical companies .
",0
155,"However , the production possibilities frontier for healthcare and education was drawn as a curved line .
",0
156," While pastoral and horticultural societies used small , temporary tools such as digging sticks or hoes , agricultural societies relied on permanent tools for survival .
",1
157," Its goal was to unite gay men who otherwise lived in secrecy and to fight against abuse .
",0
158,"Second , social welfare policy creates an automatic stimulus for a society by building a safety net that can catch members of society who are suffering economic hardship through no fault of their own .
",0
159,"Although the U.S. Constitution clearly allocated more power to the federal government than had been the case under the Articles of Confederation , the framers still respected the important role of the states in the new government .
",0
160," Hybrids can be either less fit than the parents , more fit , or about the same .
",0
161,"Such a lens is called a converging ( or convex ) lens for the converging effect it has on light rays .
",0
162," The most plausible explanation is that while the explosion in new information and communications technologies over the last several decades has helped many workers to become more productive , the benefits have been especially great for high - skilled workers like top business managers , consultants , and design professionals .
",0
163,"When you visit such a culture , how well you relate to the values of that culture exemplifies your cultural intelligence , sometimes referred to as cultural competence .
",1
164," Covalent Bonds and Other Bonds and InteractionsAnother way the octet rule can be satisfied is by the sharing of electrons between atoms to form covalent bonds .
",0
165,"In 1610 , when Galileo looked through his telescope and discovered Saturn , the planet was already there , but until then , no one had known about it .
",0
166,"The rate at which photosynthetic primary producers incorporate energy from the sun is called gross primary productivity .
",1
167," Since 2005 , automated sequencing techniques used by laboratories are under the umbrella of next - generation sequencing , which is a group of automated techniques used for rapid DNA sequencing .
",1
168," This decelerating process produces radiation that is called bremsstrahlung ( German for braking radiation ) .
",0
169," Just three decades later , during the 1964 presidential election campaign , incumbent President Lyndon B. Johnson declared a “ War on Poverty , ” instituting a package of Great Society programs designed to improve circumstances for lower - income Americans across the nation .
",0
170,"The neurological mechanism for sound processing does not work properly in someone with dyslexia .
",0
171," From the end of the Revolutionary War in the late eighteenth century until the early twentieth century , isolationism — whereby a country stays out of foreign entanglements and keeps to itself — was a popular stance in U.S. foreign policy .
",1
172,"During the Great Recession , tax receipts dropped as business activities slowed , consumer spending dropped , and family incomes decreased due to layoffs or work - hour reductions .
",0
173," Many societies eat almost exclusively vegetarian fare and depend solely on seed plants for their nutritional needs .
",0
174,"As we know from experience , some objects have more inertia than others .
",0
175,"In addition to biological motives , motivations can be intrinsic ( arising from internal factors ) or extrinsic ( arising from external factors ) ( [ link ] ) .
",1
176,"Previously , Walker had launched a successful invasion of Mexico , dubbing his conquered land the Republic of Sonora .
",0
177," Working backwards is a useful heuristic in which you begin solving the problem by focusing on the end result .
",1
178," Kirchhoff ’s first rule ( the junction rule ) is an application of the conservation of charge to a junction ; it is illustrated in [ link ] .
",1
179,"Such substances are said to be optically active .
",0
180,"The EITC is one of the largest assistance program for low - income groups , and projections for 2013 expected 26 million households to take advantage of it at an estimated cost of $ 50 billion .
",0
181,"For the last fifty years , the African American community has faced challenges related to both past and current discrimination ; progress on both fronts remains slow , uneven , and often frustrating .
",0
182," Viruses are acellular , meaning they are biological entities that do not have a cellular structure .
",1
183,"To call attention to their cause , members circulated petitions , lobbied politicians , and held parades in which hundreds of women and girls marched through the streets ( [ link ] ) .
",0
184," The earliest gerontological theory in the functionalist perspective is disengagement theory , which suggests that withdrawing from society and social relationships is a natural part of growing old .
",1
185,"Navigating your way home after being detoured onto an unfamiliar route because of road construction would draw upon your fluid intelligence .
",0
186,"Furthermore , even if the thermal energy is retained or captured , it can not be fully converted back to work , so it is lost or not recoverable in that sense as well . The amount of the happy face erased depends on the path taken by the eraser between points A and B , as does the work done against friction .
",0
187,"During gastrulation , the blastula folds upon itself to form the three layers of cells .
",0
188," Some view the iron triangle idea as outdated .
",0
189," ( See [ link ] . )
",0
190,"Strict scrutiny , however , was the legal basis for the Supreme Court ’s 1944 upholding of the legality of the internment of Japanese Americans during World War II , discussed later in this chapter . Korematsu v. United States , 323 U.S. 214 ( 1944 ) .
",0
191,"Glial cells , which outnumber neurons ten to one , are traditionally thought to play a supportive role to neurons , both physically and metabolically .
",1
192," A saprophyte is a plant that does not have chlorophyll and gets its food from dead matter , similar to bacteria and fungi ( note that fungi are often called saprophytes , which is incorrect , because fungi are not plants ) .
",1
193,"Taste buds are formed by groupings of taste receptor cells with hair - like extensions that protrude into the central pore of the taste bud ( [ link ] ) .
",1
194,"For example , smooth chin is a recessive trait , which means that an individual will only display the smooth chin phenotype if they are homozygous for that recessive allele ( bb ) .
",0
195," Unfortunately , this is impossible .
",0
196," If a particular issue or topic is not taken up in one place , it may be handled in another , giving rise to many different opportunities for an interest to be heard somewhere across the nation .
",0
197," Some species of salamanders and all caecilians are functionally limbless ; their limbs are vestigial .
",0
198,"Some scholars suggest that people are naturally drawn to others with similar concerns .
",0
199," The second part of the small intestine is called the jejunum , shown in [ link ] .
",1
200," The urea cycle is the primary mechanism by which mammals convert ammonia to urea .
",1
201," When children learn new information , they adjust their schemata through two processes : assimilation and accommodation .
",0
202," As a whole , state legislatures have become progressively more professional .
",0
203," During sexual reproduction the genetic material of two individuals is combined to produce genetically diverse offspring that differ from their parents .
",0
204,"Basophils are also involved in allergy and hypersensitivity responses and induce specific types of inflammatory responses .
",0
205,"Christopher Beam , “ The TMI President , ” Slate , 12 November 2008 .
",0
206,"Other symptoms of plant viruses include malformed leaves , black streaks on the stems of the plants , altered growth of stems , leaves , or fruits , and ring spots , which are circular or linear areas of discoloration found in a leaf .
",0
207,"This term is used because the low success of the hybrids reinforces the original speciation .
",0
208,"It was first demonstrated by William Bousfield ( 1935 ) in an experiment in which he asked people to memorize words .
",0
209," DNA is a helix - shaped molecule made up of nucleotide base pairs .
",1
210," In the gradual speciation model , species diverge gradually over time in small steps .
",1
211,"Approximately 80 percent of both the Senate and the House of Representatives are male , and about 21 percent of members of Congress are people of color ( [ link ] ) .
",0
212,"In this example , we will call the gene for cleft chin “ B , ” and the gene for smooth chin “ b. ” Cleft chin is a dominant trait , which means that having the dominant allele either from one parent ( Bb ) or both parents ( BB ) will always result in the phenotype associated with the dominant allele .
",1
213,"Mesoamericans were polytheistic ; their gods possessed both male and female traits and demanded blood sacrifices of enemies taken in battle or ritual bloodletting .
",0
214," An exoskeleton is an external skeleton that consists of a hard encasement on the surface of an organism .
",1
215," Named for Charles Ponzi , the original “ Ponzi schemes ” emerged early in the 1920s to encourage novice investors to divert funds to unfounded ventures , which in reality simply used new investors ’ funds to pay off older investors as the schemes grew in size .
",1
216," Prokaryotes can use different sources of energy to assemble macromolecules from smaller molecules .
",0
217," Digestive juices from the pancreas , liver , and gallbladder , as well as from gland cells of the intestinal wall itself , enter the duodenum .
",0
218,"Let us use one key indicator of the standard of living , GDP per capita , to quantify this diversity .
",0
219," Scientists believe the ultimate in HGT occurs through genome fusion between different species of prokaryotes when two symbiotic organisms become endosymbiotic .
",0
220,"The great apes include the genera Pan ( chimpanzees and bonobos ) ( [ link]a ) , Gorilla ( gorillas ) , Pongo ( orangutans ) , and Homo ( humans ) ( [ link]b ) .
",0
221,"One of these is life expectancy : the average number of years a person born today may expect to live .
",1
222," The first opinion poll was taken in 1824 ; it asked voters how they voted as they left their polling places .
",0
223,"Eugene R. Wittkopf , Christopher M. Jones , and Charles W. Kegley , Jr. 2007 .
",0
224,"Nonetheless , Elizabeth approved of English privateers , sea captains to whom the home government had given permission to raid the enemy at will .
",1
225,"A person ’s sexual orientation is his or her physical , mental , emotional , and sexual attraction to a particular sex ( male or female ) .
",1
226,"These diathesis - stress models propose that depression is triggered by a “ cognitive vulnerability ” ( negative and maladaptive thinking ) and by precipitating stressful life events ( Gotlib & Joormann , 2010 ) .
",0
227,"Due to the fact that some couples wish to have a male heir , many Chinese couples continue to have more than one child .
",0
228," The James - Lange theory of emotion asserts that emotions arise from physiological arousal .
",1
229,"During the mitotic phase , the replicated DNA and cytoplasmic contents are separated , and the cell divides .
",1
230,"Its 10 electrons ( 8 from the oxygen atom and 2 from the two hydrogen atoms ) tend to remain closer to the oxygen nucleus than the hydrogen nuclei .
",1
231,"Quark theory including color is called quantum chromodynamics ( QCD ) , also named by Gell - Mann .
",1
232," In monocot seeds ( [ link ] ) , the testa and tegmen of the seed coat are fused .
",0
233,"In their research , Paul Brace and Melinda Hall found that state courts are important instruments of democracy because they provide different alternatives and varying arenas for political access .
",0
234," Starting in New York in 1790 , the early Supreme Court focused on establishing its rules and procedures and perhaps trying to carve its place as the new government ’s third branch .
",1
235,"( See [ link ] . )
",0
236,"By detecting and timing microwave echoes , radar systems can determine the distance to objects as diverse as clouds and aircraft .
",0
237," He held that once scholars identified the laws that governed society , sociologists could address problems such as poor education and poverty ( Abercrombie et al . 2000 ) .
",0
238," They turn instead to the vast government bureaucracy to provide policy guidance .
",0
239," [ link ] also shows the patterns of taxation for the main categories of taxes levied by the federal government : individual income taxes , corporate income taxes , and social insurance and retirement receipts .
",0
240,"A monocyte is a type of white blood cell that circulates in the blood and lymph and differentiates into macrophages after it moves into infected tissue .
",1
241,"The majority of the men and women in Congress also engaged in either state or local politics , were business people , or practiced law before being elected to Congress . Manning , p. 3 ( Table 2 ) .
",0
242,"The new technologies have also helped to encourage globalization , the remarkable increase in international trade over the last few decades , by making it more possible to learn about and coordinate economic interactions all around the world .
",1
243,"A labor union seeks to change the balance of power between employers and workers by requiring employers to deal with workers collectively , rather than as individuals .
",0
244," People with obsessive - compulsive disorder ( OCD ) experience thoughts and urges that are intrusive and unwanted ( obsessions ) and/or the need to engage in repetitive behaviors or mental acts ( compulsions ) .
",1
245,"A third cabinet secretary , the secretary of homeland security , is critically important in foreign policy , overseeing the massive Department of Homeland Security ( [ link ] ) .
",0
246,"In 2010 , President Barack Obama signed into law the Patient Protection and Affordable Care Act ( ACA ) , a statute that brought significant changes to the nation ’s healthcare system .
",0
247,"The OMB director develops the president ’s yearly budget proposal , including funding for the foreign policy agencies and foreign aid .
",1
248,"Radioactive decay ( carbon-14 decaying to eventually become nitrogen-14 ) describes the energy loss that occurs when an unstable atom ’s nucleus releases radiation . Evolution Connection
",0
249,"An important characteristic of extant amphibians is a moist , permeable skin that is achieved via mucus glands that keep the skin moist ; thus , exchange of oxygen and carbon dioxide with the environment can take place through it ( cutaneous respiration ) .
",1
250,"One of the first groups of Puritans to move to North America , known as Pilgrims and led by William Bradford , had originally left England to live in the Netherlands .
",1
251,"The binding of PRRs with PAMPs triggers the release of cytokines , which signal that a pathogen is present and needs to be destroyed along with any infected cells .
",0
252,"It Takes a Candidate : Why Women Do n’t Run for Office .
",0
253," Indeed , voting itself may reflect merely a latent preference because even people who do not feel strongly about a particular political candidate or issue vote .
",0
254,"According to the doctrine of comparable worth , people should be compensated equally for work requiring comparable skills , responsibilities , and effort .
",0
255,"Ions in high - concentration areas are ready to move to low - concentration areas , and positive ions are ready to move to areas with a negative charge . In the resting state , sodium ( Na+ ) is at higher concentrations outside the cell , so it will tend to move into the cell .
",0
256,"There are three different sections to an S - shaped curve .
",0
257,"Eventually , the dogs began to salivate to the tone alone , just as they previously had salivated at the sound of the assistants ’ footsteps .
",0
258,"This finding was generally interpreted as meaning that the Second Amendment protected the right of the states to organize a militia , rather than an individual right , and thus lower courts generally found most firearm regulations — including some city and state laws that virtually outlawed the private ownership of firearms — to be constitutional .
",0
259,"A large amount of the Earth ’s water is locked in place in these reservoirs as ice , beneath the ground , and in the ocean , and , thus , is unavailable for short - term cycling ( only surface water can evaporate ) .
",0
260,"[ link ] summarizes the different types of epithelial tissues .
",0
261,"The percent IQ Correlation for relationships where no genes are shared , including adoptive parent - child pairs , similarly aged unrelated children raised together , and adoptive siblings are around 21 percent , 30 percent , and 32 percent , respectively .
",0
262," What Determines Net Exports?Recall that exports are products produced domestically and sold abroad while imports are products produced abroad but purchased domestically .
",1
263," Now that you know how classical conditioning works and have seen several examples , let ’s take a look at some of the general processes involved .
",0
264,"The simplest example is that of a gastrovascular cavity and is found in organisms with only one opening for digestion .
",0
265,"The dorsal cavity contains the cranial and the vertebral ( or spinal ) cavities .
",1
266,"Tadahisa Kuroda . 1994 .
",0
267," But baryons have B = +1 B = +1 size 12 { B
",0
268," In 1803 , the Supreme Court declared for itself the power of judicial review , a power to which Hamilton had referred but that is not expressly mentioned in the Constitution .
",0
269,"A single gene may have multiple possible variations , or alleles .
",1
270,"Discoveries make known previously unknown but existing aspects of reality .
",1
271,"An example of gross primary productivity is shown in the compartment diagram of energy flow within the Silver Springs aquatic ecosystem as shown ( [ link ] ) .
",0
272,"Quantized is the opposite of continuous .
",0
273,"Therefore , if the results of the experimental group differ from the control group , the difference must be due to the hypothesized manipulation , rather than some outside factor .
",0
274,"These appraisals are informed by our experiences , backgrounds , and cultures .
",0
275,"In a relatively short period of time , Walker was dislodged from Sonora by Mexican authorities and forced to retreat back to the United States .
",0
